iter	Passed	Remaining
0	49	49389
1	93	46637
2	180	59859
3	218	54462
4	266	52954
5	303	50309
6	341	48489
7	381	47262
8	419	46188
9	464	45949
10	497	44742
11	539	44436
12	577	43870
13	622	43814
14	652	42862
15	682	41996
16	725	41954
17	756	41265
18	785	40557
19	821	40246
20	854	39856
21	888	39512
22	923	39249
23	953	38771
24	984	38388
25	1022	38321
26	1071	38627
27	1124	39042
28	1157	38742
29	1186	38379
30	1221	38169
31	1262	38203
32	1311	38417
33	1357	38573
34	1387	38259
35	1425	38170
36	1456	37898
37	1491	37755
38	1529	37686
39	1565	37573
40	1601	37462
41	1635	37303
42	1672	37229
43	1703	37021
44	1744	37016
45	1780	36932
46	1815	36814
47	1853	36770
48	1887	36623
49	1918	36454
50	1947	36247
51	1975	36015
52	2019	36088
53	2059	36087
54	2089	35894
55	2116	35686
56	2145	35498
57	2174	35317
58	2204	35155
59	2244	35164
60	2275	35031
61	2305	34878
62	2336	34745
63	2367	34621
64	2408	34647
65	2440	34543
66	2489	34665
67	2518	34524
68	2552	34436
69	2584	34334
70	2615	34221
71	2645	34103
72	2677	33994
73	2715	33975
74	2753	33955
75	2784	33849
76	2819	33799
77	2849	33677
78	2892	33720
79	2926	33653
80	2973	33732
81	3053	34184
82	3070	33928
83	3099	33804
84	3131	33709
85	3161	33596
86	3191	33492
87	3222	33397
88	3253	33304
89	3290	33266
90	3322	33184
91	3352	33088
92	3382	32988
93	3413	32904
94	3445	32827
95	3483	32803
96	3524	32808
97	3574	32895
98	3611	32865
99	3653	32881
100	3693	32873
101	3738	32909
102	3779	32917
103	3815	32868
104	3854	32851
105	3894	32843
106	3945	32924
107	3987	32935
108	4018	32847
109	4045	32735
110	4075	32640
111	4103	32537
112	4140	32499
113	4173	32438
114	4206	32369
115	4241	32323
116	4275	32267
117	4312	32233
118	4351	32213
119	4387	32171
120	4419	32106
121	4451	32038
122	4484	31974
123	4529	32000
124	4560	31922
125	4590	31842
126	4620	31758
127	4650	31682
128	4686	31641
129	4726	31631
130	4759	31574
131	4793	31517
132	4825	31454
133	4858	31399
134	4893	31353
135	4924	31285
136	4964	31269
137	4994	31195
138	5029	31156
139	5078	31197
140	5129	31249
141	5164	31205
142	5196	31141
143	5240	31149
144	5277	31121
145	5309	31054
146	5341	30998
147	5384	30995
148	5419	30951
149	5456	30918
150	5492	30884
151	5525	30826
152	5559	30774
153	5598	30753
154	5638	30739
155	5669	30675
156	5717	30700
157	5750	30645
158	5786	30605
159	5823	30572
160	5856	30520
161	5889	30464
162	5928	30442
163	5960	30385
164	5995	30339
165	6027	30281
166	6079	30324
167	6123	30327
168	6172	30350
169	6207	30307
170	6241	30259
171	6275	30211
172	6309	30163
173	6339	30095
174	6369	30029
175	6399	29959
176	6436	29926
177	6464	29851
178	6495	29791
179	6538	29787
180	6589	29816
181	6640	29845
182	6691	29873
183	6735	29868
184	6775	29848
185	6824	29867
186	6875	29890
187	6911	29850
188	6969	29906
189	7017	29917
190	7076	29975
191	7125	29986
192	7158	29932
193	7202	29924
194	7250	29931
195	7291	29910
196	7335	29900
197	7378	29888
198	7428	29898
199	7474	29899
200	7516	29877
201	7561	29871
202	7605	29859
203	7642	29820
204	7673	29759
205	7703	29693
206	7733	29625
207	7772	29594
208	7803	29534
209	7833	29468
210	7863	29405
211	7892	29336
212	7925	29282
213	7953	29211
214	7985	29156
215	8014	29089
216	8042	29018
217	8073	28959
218	8105	28904
219	8139	28856
220	8177	28823
221	8213	28784
222	8256	28767
223	8300	28756
224	8349	28758
225	8399	28764
226	8446	28761
227	8478	28706
228	8510	28654
229	8549	28623
230	8589	28592
231	8633	28580
232	8684	28586
233	8739	28607
234	8777	28572
235	8810	28521
236	8852	28501
237	8898	28489
238	8942	28473
239	8978	28433
240	9011	28379
241	9048	28342
242	9096	28338
243	9136	28307
244	9175	28274
245	9211	28234
246	9263	28240
247	9303	28210
248	9338	28165
249	9377	28132
250	9410	28082
251	9445	28035
252	9486	28009
253	9530	27991
254	9569	27957
255	9612	27936
256	9667	27950
257	9726	27972
258	9777	27972
259	9827	27970
260	9875	27962
261	9921	27946
262	9973	27947
263	10023	27944
264	10073	27940
265	10124	27937
266	10166	27909
267	10208	27881
268	10250	27856
269	10300	27849
270	10344	27827
271	10392	27815
272	10437	27795
273	10475	27755
274	10516	27724
275	10565	27715
276	10610	27695
277	10649	27657
278	10683	27608
279	10717	27559
280	10755	27520
281	10798	27493
282	10839	27462
283	10884	27441
284	10922	27402
285	10979	27410
286	11033	27411
287	11078	27389
288	11125	27370
289	11177	27364
290	11212	27317
291	11244	27265
292	11279	27216
293	11311	27163
294	11341	27104
295	11371	27045
296	11402	26989
297	11432	26930
298	11462	26873
299	11492	26816
300	11524	26761
301	11552	26701
302	11581	26641
303	11611	26583
304	11641	26526
305	11677	26483
306	11706	26426
307	11736	26368
308	11770	26321
309	11799	26263
310	11830	26208
311	11870	26176
312	11903	26127
313	11934	26074
314	11966	26022
315	12002	25979
316	12036	25933
317	12069	25884
318	12106	25845
319	12140	25799
320	12173	25750
321	12210	25711
322	12244	25663
323	12278	25617
324	12315	25578
325	12357	25548
326	12387	25495
327	12419	25445
328	12452	25396
329	12486	25351
330	12517	25300
331	12546	25244
332	12575	25189
333	12605	25134
334	12643	25098
335	12685	25068
336	12715	25015
337	12751	24974
338	12780	24919
339	12808	24864
340	12839	24813
341	12871	24764
342	12900	24710
343	12933	24663
344	12968	24620
345	13016	24603
346	13065	24586
347	13114	24571
348	13159	24545
349	13208	24529
350	13243	24486
351	13280	24449
352	13317	24409
353	13356	24373
354	13392	24332
355	13434	24302
356	13479	24277
357	13530	24264
358	13568	24227
359	13605	24186
360	13643	24149
361	13679	24110
362	13731	24096
363	13770	24060
364	13816	24037
365	13866	24020
366	13926	24020
367	13977	24004
368	14034	23999
369	14084	23981
370	14138	23971
371	14187	23951
372	14238	23934
373	14283	23908
374	14323	23872
375	14367	23843
376	14414	23820
377	14456	23788
378	14499	23757
379	14555	23748
380	14610	23737
381	14670	23733
382	14725	23722
383	14785	23719
384	14824	23681
385	14867	23650
386	14905	23609
387	14947	23577
388	14994	23551
389	15045	23532
390	15095	23512
391	15133	23472
392	15181	23447
393	15246	23450
394	15301	23436
395	15359	23427
396	15406	23401
397	15448	23367
398	15497	23343
399	15541	23312
400	15595	23296
401	15641	23267
402	15682	23231
403	15726	23200
404	15768	23166
405	15809	23130
406	15850	23094
407	15886	23051
408	15925	23012
409	15978	22994
410	16016	22952
411	16052	22910
412	16088	22866
413	16122	22820
414	16154	22771
415	16186	22722
416	16220	22677
417	16256	22635
418	16290	22589
419	16326	22545
420	16362	22503
421	16403	22466
422	16439	22424
423	16479	22386
424	16518	22348
425	16557	22310
426	16596	22271
427	16636	22234
428	16679	22201
429	16736	22185
430	16769	22139
431	16800	22088
432	16830	22038
433	16860	21988
434	16891	21939
435	16930	21900
436	16977	21872
437	17020	21839
438	17054	21794
439	17087	21748
440	17120	21701
441	17152	21654
442	17183	21605
443	17216	21559
444	17253	21518
445	17316	21509
446	17363	21480
447	17408	21449
448	17442	21404
449	17486	21372
450	17522	21330
451	17553	21282
452	17585	21234
453	17615	21185
454	17648	21138
455	17678	21090
456	17708	21041
457	17740	20993
458	17773	20948
459	17805	20901
460	17836	20854
461	17880	20822
462	17929	20794
463	17970	20758
464	18022	20735
465	18078	20716
466	18123	20685
467	18157	20641
468	18191	20596
469	18240	20568
470	18298	20552
471	18346	20523
472	18380	20478
473	18422	20443
474	18453	20395
475	18489	20354
476	18530	20317
477	18573	20283
478	18613	20245
479	18663	20219
480	18719	20197
481	18756	20157
482	18803	20127
483	18839	20084
484	18884	20053
485	18932	20023
486	18983	19996
487	19028	19964
488	19084	19943
489	19123	19903
490	19167	19870
491	19219	19844
492	19272	19820
493	19324	19794
494	19375	19767
495	19419	19733
496	19455	19690
497	19492	19648
498	19532	19611
499	19567	19567
500	19600	19522
501	19633	19476
502	19668	19433
503	19720	19407
504	19760	19368
505	19807	19337
506	19842	19294
507	19881	19255
508	19921	19216
509	19962	19180
510	20030	19168
511	20080	19139
512	20117	19097
513	20159	19061
514	20206	19029
515	20248	18992
516	20303	18968
517	20362	18947
518	20423	18928
519	20460	18886
520	20507	18854
521	20546	18814
522	20597	18785
523	20643	18752
524	20682	18712
525	20719	18671
526	20761	18633
527	20813	18605
528	20863	18575
529	20908	18541
530	20954	18507
531	20988	18463
532	21018	18416
533	21051	18370
534	21082	18323
535	21111	18275
536	21141	18228
537	21171	18180
538	21210	18141
539	21243	18095
540	21272	18048
541	21303	18002
542	21339	17959
543	21368	17911
544	21400	17866
545	21439	17827
546	21471	17781
547	21517	17747
548	21555	17707
549	21595	17668
550	21635	17630
551	21676	17592
552	21714	17552
553	21749	17509
554	21786	17468
555	21829	17432
556	21872	17396
557	21903	17350
558	21961	17325
559	21994	17281
560	22030	17239
561	22077	17206
562	22117	17167
563	22150	17123
564	22179	17076
565	22208	17029
566	22236	16981
567	22264	16933
568	22298	16890
569	22337	16850
570	22379	16813
571	22415	16772
572	22445	16726
573	22478	16682
574	22517	16643
575	22554	16602
576	22598	16567
577	22644	16532
578	22687	16496
579	22733	16462
580	22783	16431
581	22834	16399
582	22890	16372
583	22939	16340
584	22978	16301
585	23018	16262
586	23069	16230
587	23119	16199
588	23155	16157
589	23215	16133
590	23262	16098
591	23313	16067
592	23393	16055
593	23438	16020
594	23476	15979
595	23510	15936
596	23555	15900
597	23589	15857
598	23625	15816
